Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP? ,Município de residência,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual sua nacionalidade?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.","Algum de seus pais ou responsável possui ensino superior completo? Se sim, quem? ",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual renda per capita familiar?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal?,Você enfrenta dificuldades no uso de tecnologias digitais aplicadas ao seu curso de graduação?  ,Você pratica alguma atividade física?,Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual?",Você segue a FMP nas redes sociais?,Qual meio de comunicação você mais usa para se informar?
06/10/2025 09:37:20,Amigos/familiares,Palhoça,Caminho Novo,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,"Sim, a mãe",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Não,Não,,Não,Whatsapp
06/10/2025 09:38:36,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,"A pé, Carro",Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Televisão, Youtube"
06/10/2025 09:40:34,Divulgação na escola,São José,Ponte do Imaruim,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Prefiro não declarar,Masculino,Não,,De forma mista,Ensino Médio,,"Sim, a mãe",Não,,Sim,Não,MEI (Microempreendedor individual),6 horas,Prefiro não responder,Moro sozinho/a em residência própria,A pé,Sim,Sim,Não,Sim,Não,,Não,Redes Sociais
06/10/2025 10:03:38,Amigos/familiares,Palhoça,São Sebastião,2024/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 16 e 21 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,"Sim, a mãe",Não,,Sim,Sim,Estagiário(a),6 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,Whatsapp
06/10/2025 10:09:50,Amigos/familiares,Palhoça,Nova Palhoça,2021/01,Administração,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,Técnico em Contabilidade e Tecnólogo em Gestão Pública,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais, Youtube"
06/10/2025 10:22:50,Amigos/familiares,Palhoça,Barra do Aririú,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,,"Sim, ambos",Sim,TDAH,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais, Televisão, Whatsapp, Youtube"
06/10/2025 13:55:23,Outros,Palhoça,Ponte do Imaruim,2021/02,Pedagogia,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Sim,1,Escola pública,Superior Completo,,Não,Sim,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência própria,"A pé, Carro",Sim,Sim,Não,Sim,Não,,Sim,"Rádio, Redes Sociais, Televisão, Whatsapp"
06/10/2025 15:12:48,Amigos/familiares,Palhoça,Bela Vista,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Funcionário(a) Público(a),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
06/10/2025 23:08:38,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Feminino,Sim,3,De forma mista,Ensino Médio,,"Sim, a mãe",Não,,Sim,Não,Autônomo(a),indefinido,De 1 a 3 salários mínimos,Moro com a família em residência alugada,"A pé, Carro",Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Televisão, Whatsapp"
08/10/2025 14:28:51,Outros,Palhoça,Jardim Eldorado,2023/01,Administração,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
08/10/2025 19:01:30,Amigos/familiares,Palhoça,Bela Vista,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:22:43,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,A pé,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:31:57,Outros,Palhoça,Praia de Fora,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,"Sim, outro responsável",Não,,Não,Não,Do lar,indefinido,De 4 a 6 salários mínimos,Moro com a família em residência própria,"A pé, Ônibus",Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:32:09,Amigos/familiares,Palhoça,Aririú,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,Administração bacharel ,Não,Não,,Sim,Não,Autônomo(a),4 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Sim,No momento consigo chegar apenas depois do horário do começo da aula ,Sim,Redes Sociais
10/10/2025 10:33:02,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Parda,Feminino,Sim,1,Escola pública,Ensino Médio,Nao,Não,Não,Nao,Não,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,A pé,Sim,Sim,Não,Sim,Não,Não ,Sim,Redes Sociais
10/10/2025 10:33:19,Redes sociais,São José,Não moro,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Preta,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais, Whatsapp, Youtube"
10/10/2025 10:33:23,Amigos/familiares,Palhoça,Barra do Aririú,2017/01,Pós Graduação em Gestão Escolar,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Sim,3,Escola pública,Superior Completo,,Não,Sim,,Sim,Sim,Autônomo(a),6 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Sim,Sim,Sim,,Sim,Redes Sociais
10/10/2025 10:33:39,Amigos/familiares,Palhoça,Praia de Fora,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Whatsapp, Youtube"
10/10/2025 10:33:45,Amigos/familiares,Palhoça,Barra do Aririú,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 40 e 45 anos,Preta,Masculino,Sim,5 ou mais,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Autônomo(a),indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:33:57,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola particular,Ensino Médio,,"Sim, a mãe",Não,,Sim,Sim,Autônomo(a),12 horas,Prefiro não responder,Moro com a família em residência própria,A pé,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:34:01,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência própria,A pé,Sim,Sim,Sim,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:34:10,Amigos/familiares,Palhoça,Bela Vista,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 40 e 45 anos,Parda,Masculino,Não,,Escola pública,Superior Completo,Gestão em tecnologia da informação ,"Sim, a mãe",Não,,Sim,Sim,Colaborador(a) de empresa privada,12 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,Não,Não,,Sim,Jornais/revistas
10/10/2025 10:34:22,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola particular,Superior Completo,Tecnólogo em gestão de turismo.,Não,Não,,Sim,Não,Autônomo(a),indefinido,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Moto,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:34:28,Divulgação na escola,Palhoça,Centro,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Prefiro não declarar,Não,,Escola particular,Ensino Médio,,"Sim, a mãe",Não,,Sim,Sim,Colaborador(a) de empresa privada,4 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:34:43,Outros,Palhoça,Não moro,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Autônomo(a),indefinido,Prefiro não responder,Moro com a família em residência própria,Moto,Sim,Sim,Sim,Não,Não,,Sim,Redes Sociais
10/10/2025 10:34:54,Divulgação na escola,Palhoça,Bela Vista,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 4 a 6 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Sim,Sim,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:35:53,Amigos/familiares,Palhoça,Pagani,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola particular,Ensino Médio,Ciência da Computação - em formação,"Sim, ambos",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Mais de 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais, Televisão, Whatsapp"
10/10/2025 10:35:54,Amigos/familiares,Palhoça,Bela Vista,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 40 e 45 anos,Prefiro não declarar,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:36:02,Amigos/familiares,Palhoça,Aririú da Formiga,2018/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,"Sim, a mãe",Não,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Ônibus",Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:36:56,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Parda,Feminino,Sim,2,Escola pública,Superior Completo,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Menos de 1 salário mínimo,Moro com a família em residência alugada,A pé,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:37:00,Amigos/familiares,Palhoça,Pagani,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 40 e 45 anos,Branca,Masculino,Sim,3,Escola pública,Pós Graduação,Ciências Contábeis ,Não,Não,,Sim,Não,Funcionário(a) Público(a),8 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,Sim,Não,,Não,"Rádio, Whatsapp, Youtube"
10/10/2025 10:37:12,Amigos/familiares,Palhoça,Nova Palhoça,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Do lar,6 horas,De 4 a 6 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Não,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:37:58,Amigos/familiares,Palhoça,Alto Aririú,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,Técnico podologia,Não,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,Sim,Não,,Sim,"Redes Sociais, Whatsapp, Youtube"
10/10/2025 10:38:40,Amigos/familiares,Palhoça,São Sebastião,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:38:48,Redes sociais,Palhoça,Brejarú,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,"Sim, o pai",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Menos de 1 salário mínimo,Moro com a família em residência própria,Moto,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:38:50,Redes sociais,Palhoça,Bela Vista,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Parda,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Ônibus,Sim,Sim,Sim,Não,Não,,Sim,Whatsapp
10/10/2025 10:38:59,Redes sociais,Palhoça,Praia de Fora,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 40 e 45 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,"Sim, a mãe",Não,,Sim,Sim,Colaborador(a) de empresa privada,12 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Sim,Não,Sim,Transporte público ,Sim,Youtube
10/10/2025 10:39:33,Sites da FMP,Palhoça,Passa Vinte,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 34 e 39 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,Não ,Não,Não,Não ,Sim,Não,Funcionário(a) Público(a),12 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Bicicleta,Sim,Sim,Sim,Sim,Não,Não ,Sim,Redes Sociais
10/10/2025 10:40:06,Amigos/familiares,Palhoça,Passa Vinte,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola particular,Ensino Médio,,"Sim, ambos",Não,,Sim,Sim,Estagiário(a),6 horas,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:40:55,Outros,São José,Não moro,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,"Sim, ambos",Não," Míopia, astigmatismo, asma e desvio lombar",Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Whatsapp, Youtube"
10/10/2025 10:41:05,"Redes sociais, Amigos/familiares, Sites da FMP",Palhoça,São Sebastião,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,Não ,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,Não,Sim,Trabalhar e fazer faculdade ,Sim,"Jornais/revistas, Rádio, Redes Sociais, Televisão, Whatsapp, Youtube"
10/10/2025 10:41:07,Redes sociais,Palhoça,Pedra Branca,2024/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,Tecnólogo em Gestão em Turismo,"Sim, ambos",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:41:42,Outros,Palhoça,Praia de Fora,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,Whatsapp
10/10/2025 10:41:53,Divulgação na escola,São José,Ponte do Imaruim,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Prefiro não declarar,Masculino,Não,,Escola pública,Ensino Médio,,"Sim, a mãe",Não,,Sim,Não,Autônomo(a),6 horas,De 4 a 6 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Não,Youtube
10/10/2025 10:41:57,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,"Sim, o pai",Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,A pé,Sim,Sim,Não,Sim,Não,,Sim,Whatsapp
10/10/2025 10:42:03,"Redes sociais, Sites da FMP",Palhoça,Pachecos,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Parda,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Estagiário(a),indefinido,Menos de 1 salário mínimo,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Não,Sim,As vezes não tenho passe pra ir até a faculdade ,Sim,Whatsapp
10/10/2025 10:42:15,"Redes sociais, Sites da FMP",Palhoça,Alto Aririú,2024/02,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Menos de 1 salário mínimo,Moro com a família em residência própria,"Bicicleta, Carro, Ônibus",Sim,Sim,Sim,Não,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:42:21,Amigos/familiares,Palhoça,Bela Vista,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Funcionário(a) Público(a),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,Redes Sociais
10/10/2025 10:42:27,Amigos/familiares,Palhoça,Jardim Aquarius,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,De 4 a 6 salários mínimos,Moro com a família em residência alugada,"Bicicleta, Aplicativo de transporte",Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:42:44,Amigos/familiares,São José,Não moro,2025/01,Tecnólogo em Processos Gerenciais,Estrangeira,Entre 40 e 45 anos,Preta,Masculino,Sim,3,Escola pública,Ensino Médio,,"Sim, outro responsável",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Sim,Não,De adaptação ,Não,"Redes Sociais, Televisão"
10/10/2025 10:43:07,Amigos/familiares,Palhoça,Bela Vista,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Preta,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,4 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Televisão"
10/10/2025 10:43:13,Outros,Palhoça,Bela Vista,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 40 e 45 anos,Preta,Feminino,Sim,2,Escola pública,Superior Completo,RH em Gestão de Pessoas ,Não,Não,,Não,Não,Do lar,indefinido,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Televisão"
10/10/2025 10:43:45,"Redes sociais, Amigos/familiares, Sites da FMP",Palhoça,Bela Vista,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Preta,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Autônomo(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Televisão, Whatsapp, Youtube"
10/10/2025 10:43:47,Amigos/familiares,Palhoça,Ponte do Imaruim,2025/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,"Sim, outro responsável",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência própria,"A pé, Carro",Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Whatsapp, Youtube"
10/10/2025 10:43:51,"Amigos/familiares, Divulgação na escola",Palhoça,Ponte do Imaruim,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Preta,Feminino,Não,,Escola pública,Ensino Médio,,"Sim, a mãe",Sim,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência alugada,"A pé, Carro",Sim,Não,Sim,Não,Não,,Sim,"Jornais/revistas, Redes Sociais, Televisão"
10/10/2025 10:43:55,Amigos/familiares,Palhoça,Ponte do Imaruim,2023/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Prefiro não declarar,Masculino,Não,,Escola pública,Ensino Médio,,"Sim, ambos",Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência alugada,A pé,Sim,Sim,Não,Não,Não,,Não,Youtube
10/10/2025 10:44:03,Amigos/familiares,Biguaçu,Não moro,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Moto,Sim,Sim,Não,Não,Não,,Sim,Redes Sociais
10/10/2025 10:44:44,"Redes sociais, Amigos/familiares",Palhoça,Ponte do Imaruim,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola pública,Superior Completo,Tecnologia em produção multimídia bilíngue ,Não,Sim,Autismo Suporte 1,Sim,Sim,Estagiário(a),6 horas,Prefiro não responder,Moro com a família em residência própria,"A pé, Carro",Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Whatsapp"
10/10/2025 10:44:45,Sites da FMP,Palhoça,Bela Vista,2024/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Pós Graduação,Jornalismo ,Não,Não,,Sim,Não,Autônomo(a),8 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais"
10/10/2025 10:44:45,Amigos/familiares,Palhoça,Bela Vista,2024/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola particular,Superior Completo,Cinema e Audiovisual,Não,Não,,Não,Não,MEI (Microempreendedor individual),indefinido,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Ônibus,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp, Youtube"
10/10/2025 10:45:00,Amigos/familiares,Palhoça,Aririú,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 34 e 39 anos,Preta,Feminino,Sim,2,Escola pública,Superior Completo,,"Sim, ambos",Não,,Não,Não,MEI (Microempreendedor individual),12 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,Sim,Sim,,Sim,Redes Sociais
