Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP? ,Município de residência,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual sua nacionalidade?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.","Algum de seus pais ou responsável possui ensino superior completo? Se sim, quem? ",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual renda per capita familiar?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal?,Você enfrenta dificuldades no uso de tecnologias digitais aplicadas ao seu curso de graduação?  ,Você pratica alguma atividade física?,Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual?",Você segue a FMP nas redes sociais?,Qual meio de comunicação você mais usa para se informar?
03/10/2025 22:01:16,Amigos/familiares,Palhoça,Passa Vinte,2022/02,Pedagogia,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,3,Escola pública,Ensino Médio,Magistério ,Não,Não,,Sim,Sim,Funcionário(a) Público(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não,Sim,Responsabilidade com os filhos.( mãe solo).,Sim,Redes Sociais
03/10/2025 22:06:14,Redes sociais,São José,Não moro,2022/02,Administração,Brasileira,Entre 51 e 55 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,Técnico em ADM,Não,Não,,Sim,Sim,Estagiário(a),6 horas,Prefiro não responder,Moro com a família em residência alugada,Ônibus,Sim,Sim,Sim,Não,Não,,Sim,"Jornais/revistas, Redes Sociais, Televisão, Whatsapp, Youtube"
03/10/2025 22:53:19,Amigos/familiares,Palhoça,Pachecos,2024/02,Pedagogia,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Sim,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais"
03/10/2025 23:18:17,Amigos/familiares,Palhoça,Pedra Branca,2025/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 22 e 26 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,De 4 a 6 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,Sim,Não,,Não,Youtube
03/10/2025 23:55:56,Outros,Palhoça,Pachecos,2019/02,Pedagogia,Brasileira,Entre 34 e 39 anos,Preta,Feminino,Sim,2,Escola pública,Pós Graduação,Concluindo,Não,Não,,Sim,Não,MEI (Microempreendedor individual),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Carro, Moto",Sim,Sim,Sim,Sim,Não,,Sim,"Jornais/revistas, Redes Sociais, Televisão"
04/10/2025 01:43:04,Amigos/familiares,Palhoça,Centro,2025/01,Tecnólogo em Processos Gerenciais,Brasileira,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola particular,Ensino Médio,,Não,Não,,Sim,Sim,Autônomo(a),indefinido,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Carro,Sim,Sim,Não,Não,Não,,Não,Youtube
04/10/2025 05:17:37,Amigos/familiares,Palhoça,Ponte do Imaruim,2024/01,Pós Graduação em Gestão Empresarial,Brasileira,Entre 46 e 50 anos,Branca,Feminino,Sim,1,Escola pública,Pós Graduação,Ciências Contábeis,Não,Não,,Não,Não,Desempregado(a)/Só estudo,6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,A pé,Sim,Sim,Não,Não,Não,,Sim,Youtube
04/10/2025 08:05:13,Amigos/familiares,Palhoça,Passa Vinte,2025/01,Pós Graduação em Gestão Empresarial,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola pública,Superior Completo,Educação Física ,"Sim, a mãe",Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,Mais de 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Sim,Não,,Sim,"Redes Sociais, Televisão"
04/10/2025 08:24:23,Redes sociais,Palhoça,São Sebastião,2024/01,Pedagogia,Brasileira,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,Não,Não,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Ônibus,Sim,Sim,Não,Não,Não,,Sim,"Redes Sociais, Whatsapp"
04/10/2025 12:36:31,Amigos/familiares,São José,Não moro,2023/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Brasileira,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,Não,,Não,Não,Desempregado(a)/Só estudo,indefinido,Prefiro não responder,Moro com a família em residência alugada,Bicicleta,Sim,Sim,Não,Sim,Não,,Sim,Youtube
