Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP?,Qual seu município de residência?,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual sua faixa de renda?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal para estudos?,Você possui dificuldades com o uso da tecnologia?,Como você se alimenta na FMP?,Você pratica alguma atividade física?,"Atividade física. Se sim, qual?",Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual",Você segue a FMP no Facebook?,Você segue a FMP no Instagram?,Qual meio de comunicação você mais usa para se informar?
4/10/2024 12:42:20,Amigos/familiares,Palhoça,Aririú,2021/01,Administração,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,9 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nenhuma,Não,,Não,Sim,Redes Sociais
4/10/2024 12:49:18,Pesquisei na Internet,Palhoça,Barra do Aririú,2023/01,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Não,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Futebol,Não,,Não,Sim,Redes Sociais
4/9/2024 21:39:29,Amigos/familiares,Palhoça,Ponte do Imaruim,2023/01,Pedagogia,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,Academia ,Não,,Não,Sim,Redes Sociais
4/10/2024 13:54:01,Amigos/familiares,Palhoça,Nova Palhoça,2023/01,Administração,Entre 22 e 26 anos,Branca,Masculino,Não,,De forma mista,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Funcional e Futebol,Não,,Não,Sim,Redes Sociais
4/10/2024 19:24:33,Amigos/familiares,Palhoça,Caminho Novo,2023/01,Administração,Entre 27 e 33 anos,Branca,Masculino,Sim,1,Escola particular,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Sim,Logistica - trabaho e faculdadr,Não,Sim,Redes Sociais
4/10/2024 18:09:14,Amigos/familiares,Palhoça,Pachecos,2022/01,Administração,Entre 16 e 21 anos,Parda,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Funcionário(a) Público(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Muitas,Não,,Não,Sim,Redes Sociais
4/10/2024 8:09:27,Amigos/familiares,Palhoça,Pagani,2024/01,Tecnólogo em Processos Gerenciais,Entre 40 e 45 anos,Parda,Masculino,Sim,3,Escola pública,Ensino Médio,Eletrotécnica ,Não,,Sim,Não,MEI (Microempreendedor individual),indefinido,De 1 a 3 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Sim,"Normalmente, utiliza a cantina da instituição",Sim,Praticante de Muay Thai ,Não,,Não,Sim,Redes Sociais
4/13/2024 16:36:35,Amigos/familiares,Santo Amaro,,2024/01,Pós Graduação em Gestão Empresarial,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Dança,Não,,Não,Sim,Redes Sociais
4/10/2024 8:15:17,Amigos/familiares,São José,,2022/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Moto,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Nenhuma ,Não,,Não,Não,Redes Sociais
4/10/2024 14:35:25,Amigos/familiares,Palhoça,Guarda do Cubatão,2024/01,Pedagogia,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,Moto,Sim,Não,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,Não ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:22:51,Amigos/familiares,Palhoça,Passa Vinte,2020/02,Administração,Entre 34 e 39 anos,Parda,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Não,Não,Autônomo(a),0,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Volei e trilhas ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:04:29,Amigos/familiares,Palhoça,Aririú,2021/02,Administração,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Moto,Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Eu nao faço no momento,Não,,Não,Sim,Redes Sociais
4/10/2024 8:49:17,Amigos/familiares,Palhoça,Jardim Eldorado,2020/01,Administração,Entre 22 e 26 anos,Preta,Feminino,Não,,Escola pública,Ensino Médio,,Sim,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Moto,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,MUSCULAÇÃO,Não,,Sim,Sim,Redes Sociais
4/10/2024 8:13:39,Amigos/familiares,Palhoça,Bela Vista,2022/01,Administração,Entre 27 e 33 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Sim,,Sim,Não,Colaborador(a) de empresa privada,10 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Moto,Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Não pratico exercícios ,Não,,Não,Sim,Redes Sociais
4/10/2024 9:54:31,Amigos/familiares,Palhoça,Caminho Novo,2023/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 34 e 39 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nada,Sim,Sobrecarregada de trabalho ,Não,Sim,Redes Sociais
4/10/2024 19:06:26,Amigos/familiares,Palhoça,Alto Aririú,2024/01,Pedagogia,Entre 40 e 45 anos,Parda,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Não,Sim,"Normalmente, utiliza a cantina da instituição",Não,Nada,Não,,Não,Sim,Redes Sociais
4/10/2024 13:33:20,Amigos/familiares,Palhoça,Caminho Novo,2022/02,Administração,Entre 22 e 26 anos,Preta,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Não me alimento na FMP,Sim,Futebol aos finais de semana ,Sim,"Devido ao meu serviço as vezes tenho que perder aula, pois tenho que trabalhar até mais tarde ",Não,Sim,Redes Sociais
4/10/2024 7:07:21,Amigos/familiares,Palhoça,Ponte do Imaruim,2022/01,Pedagogia,Entre 27 e 33 anos,Preta,Feminino,Sim,3,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Não,Não,,Não,Sim,Redes Sociais
4/11/2024 10:41:01,Amigos/familiares,São José,,2021/02,Administração,Entre 46 e 50 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Não,,Não,Sim,Redes Sociais
4/9/2024 21:52:57,Amigos/familiares,São José,,2021/02,Administração,Entre 22 e 26 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Funcionário(a) Público(a),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Não me alimento na FMP,Sim,Caninhada/corrida ,Não,,Não,Sim,Redes Sociais
4/10/2024 10:45:24,Amigos/familiares,Palhoça,Bela Vista,2023/01,Pedagogia,Entre 22 e 26 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,6 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,Ônibus,Sim,Não,Sim,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,Nenhuma,Sim,"Meu filho fica na brinquedoteca todos os dias, e ajudaria muito ter um microondas para aquecer a janta pra ele. ",Não,Sim,Redes Sociais
4/15/2024 18:32:52,Amigos/familiares,Palhoça,Barra do Aririú,2023/01,Administração,Entre 16 e 21 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Menos de 1 salário mínimo,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,,Não,,Não,Sim,Redes Sociais
4/10/2024 12:18:54,Redes Sociais (Facebook/Instagram),Palhoça,São Sebastião,2022/01,Administração,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,Não me alimento na instituição,Não,.,Não,,Não,Sim,Redes Sociais
4/10/2024 11:18:31,Redes Sociais (Facebook/Instagram),Palhoça,São Sebastião,2023/01,Pedagogia,Entre 16 e 21 anos,Preta,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,6 horas,Prefiro não responder,Moro com a família em residência alugada,Ônibus,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Não,Não ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:05:05,Amigos/familiares,Palhoça,Madri,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Sim,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Não ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:06:41,Amigos/familiares,Palhoça,São Sebastião,2022/02,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,Acadêmica ,Não,,Sim,Sim,Redes Sociais
4/11/2024 10:44:54,Amigos/familiares,Palhoça,Caminho Novo,2023/02,Pedagogia,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Sim,Horário de trabalho e cansaço ,Não,Sim,Redes Sociais
4/10/2024 19:23:57,Amigos/familiares,Palhoça,Nova Palhoça,2019/01,Administração,Entre 22 e 26 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,10 horas ,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Não,,Não,Sim,Redes Sociais
4/10/2024 5:02:54,Redes Sociais (Facebook/Instagram),Palhoça,São Sebastião,2022/01,Pedagogia,Entre 27 e 33 anos,Branca,Masculino,Sim,1,De forma mista,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Ciclismo,Não,,Sim,Sim,Redes Sociais
4/10/2024 9:01:58,Amigos/familiares,Palhoça,Barra do Aririú,2023/01,Administração,Entre 34 e 39 anos,Preta,Feminino,Não,,Escola pública,Pós Graduação,Serviço Social / Pedagogia Bilíngue,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Não,Não,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Caminhada,Não,,Não,Não,Redes Sociais
4/10/2024 14:35:35,Redes Sociais (Facebook/Instagram),Palhoça,Pachecos,2024/01,Pedagogia,Entre 22 e 26 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Funcionário(a) Público(a),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nenhuma ,Não,,Sim,Sim,Redes Sociais
4/10/2024 19:01:55,Amigos/familiares,Florianópolis,,2022/02,Pedagogia,Acima de 56 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Autônomo(a),4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Nenhuma ,Não,,Não,Sim,Redes Sociais
4/22/2024 18:34:21,Amigos/familiares,Palhoça,Enseada do Brito,2023/01,Administração,Entre 16 e 21 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Autônomo(a),4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Corrida caminhada,Não,,Não,Sim,Redes Sociais
4/10/2024 19:02:33,Amigos/familiares,Palhoça,Guarda do Cubatão,2024/01,Pedagogia,Entre 16 e 21 anos,Preta,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Não,Não ,Não,,Não,Sim,Redes Sociais
4/10/2024 8:08:52,Amigos/familiares,Palhoça,Bela Vista,2024/01,Tecnólogo em Processos Gerenciais,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Sim,,Sim,Não,Colaborador(a) de empresa privada,4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Não,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,"Futebol, volei, correr",Não,,Não,Sim,Redes Sociais
4/10/2024 19:05:18,Amigos/familiares,Palhoça,Barra do Aririú,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,não faço ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:08:56,Amigos/familiares,Palhoça,Madri,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),4 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Ônibus,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Não,Não ,Não,,Não,Sim,Redes Sociais
4/9/2024 21:38:13,Amigos/familiares,Palhoça,Pagani,2024/01,Tecnólogo em Processos Gerenciais,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Pós Graduação,Nutrição ,Não,,Sim,Não,Colaborador(a) de empresa privada,indefinido,Prefiro não responder,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Funcional,Não,,Não,Sim,Redes Sociais
4/10/2024 19:08:11,Redes Sociais (Facebook/Instagram),Santo Amaro,,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Prefiro não responder,Moro com a família em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,caminhada ,Não,,Não,Sim,Redes Sociais
4/9/2024 21:38:50,Amigos/familiares,Palhoça,Passa Vinte,2020/02,Administração,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Ônibus,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Não,.,Não,,Não,Sim,Redes Sociais
4/10/2024 19:11:12,Amigos/familiares,Palhoça,Aririú,2022/02,Administração,Entre 27 e 33 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Ônibus,Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Não ,Não,,Não,Sim,Redes Sociais
4/10/2024 15:05:23,Redes Sociais (Facebook/Instagram),Palhoça,Bela Vista,2024/01,Pedagogia,Entre 46 e 50 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Ônibus,Sim,Sim,Sim,Não me alimento,Não,Nenhuma ,Não,,Sim,Sim,Redes Sociais
4/9/2024 22:01:56,Amigos/familiares,Palhoça,Bela Vista,2024/01,Tecnólogo em Processos Gerenciais,Entre 22 e 26 anos,Prefiro não declarar,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Não prático atividade física ,Sim,"A rotina se torna uma limitação. Saio às sete horas da manhã para ir a faculdade e retorno as onze horas da noite para casa, com essa rotina tem dias que o cansaço vence e falto a aula. ",Sim,Sim,Redes Sociais
4/10/2024 19:07:55,Amigos/familiares,Palhoça,Passagem de Maciambú,2024/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Sim,,Não,Não,Desempregado(a)/Só estudo,4 horas,Prefiro não responder,Moro sozinho/a em residência própria,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,caminhada ,Não,,Não,Sim,Redes Sociais
4/10/2024 18:22:54,Amigos/familiares,Palhoça,Alto Aririú,2024/01,Pedagogia,Entre 22 e 26 anos,Branca,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Autônomo(a),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Ônibus, Aplicativo de transporte",Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Nada,Não,,Não,Sim,Redes Sociais
4/10/2024 8:12:58,Amigos/familiares,Palhoça,Aririú,2024/01,Tecnólogo em Processos Gerenciais,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Sim,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Bicicleta,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Crossfit,Sim,,Não,Sim,"Redes Sociais, Jornais/revistas"
4/10/2024 9:28:09,Redes Sociais (Facebook/Instagram),Palhoça,Nova Palhoça,2023/02,Administração,Entre 40 e 45 anos,Parda,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 4 a 6 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Musculação ,Não,,Não,Sim,"Redes Sociais, Jornais/revistas"
4/10/2024 9:25:46,Amigos/familiares,Palhoça,Ponte do Imaruim,2019/01,Pedagogia,Entre 22 e 26 anos,Parda,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro sozinho/a em residência alugada,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,não faço atividade física ,Não,,Não,Sim,"Redes Sociais, Jornais/revistas"
4/9/2024 23:46:55,Amigos/familiares,Palhoça,Aririú,2024/01,Pós Graduação em Gestão Empresarial,Entre 34 e 39 anos,Branca,Feminino,Sim,1,Escola pública,Superior Completo,Bacharelado em Administração de Empresas,Não,,Sim,Não,Autônomo(a),4 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nao,Não,,Não,Sim,Televisão
4/10/2024 19:12:42,Pesquisei na Internet,Palhoça,Aririú,2019/01,Pedagogia,Entre 34 e 39 anos,Branca,Feminino,Sim,2,De forma mista,Ensino Médio,,Não,,Não,Não,MEI (Microempreendedor individual),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,"Normalmente, utiliza a cantina da instituição",Sim,"Caminhada, bola com a família ",Não,,Sim,Sim,Televisão
4/10/2024 8:12:35,Amigos/familiares,Palhoça,Passagem de Maciambú,2023/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 46 e 50 anos,Branca,Masculino,Sim,2,Escola pública,Ensino Médio,,Sim,Restrição laboral para bípedestração prolongada,Sim,Não,Funcionário(a) Público(a),escala,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Sim,"Normalmente, utiliza a cantina da instituição",Não,Não ,Não,,Não,Sim,Televisão
4/10/2024 10:16:34,Pop up no site da prefeitura ,Palhoça,Pedra Branca,2023/01,Pedagogia,Entre 51 e 55 anos,Branca,Feminino,Sim,3,Escola pública,Superior Completo,Tecnólogo design de interiores ,Não,,Não,Não,Autônomo(a),4 horas,Prefiro não responder,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,Musculação ,Não,,Sim,Sim,Televisão
4/10/2024 8:05:17,Amigos/familiares,Palhoça,Bela Vista,2022/02,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 16 e 21 anos,Parda,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Ônibus,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,"Vôlei, caminhadas, outros esportes",Não,,Não,Não,"Televisão, Jornais/revistas"
4/10/2024 8:59:39,Pesquisei na Internet,Palhoça,Caminho Novo,2022/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 22 e 26 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,Prefiro não responder,Moro com a família em residência alugada,Bicicleta,Sim,Sim,Não,"Normalmente, não me alimento na FMP",Sim,"Ciclismo, academia.",Não,,Não,Sim,"Televisão, Redes Sociais"
4/10/2024 8:16:01,Site da FMP,Palhoça,Jardim Eldorado,2021/01,Administração,Entre 51 e 55 anos,Parda,Feminino,Sim,2,Escola particular,Ensino Médio,,Não,,Não,Não,Aposentado(a),0,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Sim,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nenhuma ,Não,,Não,Sim,"Televisão, Redes Sociais"
4/10/2024 19:12:19,Amigos/familiares,Palhoça,Caminho Novo,2020/02,Administração,Entre 34 e 39 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,6 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Sim,Academia ,Não,,Não,Sim,"Televisão, Redes Sociais"
4/10/2024 8:05:44,Amigos/familiares,São José,,2024/01,Tecnólogo em Processos Gerenciais,Entre 27 e 33 anos,Branca,Feminino,Sim,2,De forma mista,Ensino Médio,,Sim,,Não,Não,Do lar,0,Menos de 1 salário mínimo,Moro com a família em residência alugada,Carro,Sim,Não,Não,"Normalmente, utiliza a cantina da instituição",Não,Nenhuma,Não,,Sim,Sim,"Televisão, Redes Sociais"
4/10/2024 9:15:22,Amigos/familiares,Palhoça,Barra do Aririú,2022/02,Pedagogia,Entre 40 e 45 anos,Parda,Feminino,Sim,1,Escola pública,Superior Completo,Administração em Gestão de Negócios ,Não,,Não,Não,Desempregado(a)/Só estudo,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,Nenhuma,Sim,Estacionamento ,Não,Sim,"Televisão, Redes Sociais"
4/9/2024 22:02:26,Redes Sociais (Facebook/Instagram),Palhoça,Pachecos,2024/01,Pós Graduação em Gestão Escolar,Entre 40 e 45 anos,Branca,Feminino,Sim,1,Escola pública,Pós Graduação,,Não,,Sim,Sim,Funcionário(a) Público(a),8 horas,De 4 a 6 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Não,Não ,Não,,Não,Sim,"Televisão, Redes Sociais"
