Carimbo de data/hora,Por qual meio de divulgação você conheceu a FMP?,Qual seu município de residência?,"Se você for morador de Palhoça, selecione o bairro em que você mora. Se morador de outra cidade, preencha bairro e cidade em ""Outros"".",Em que ano/semestre você ingressou na FMP?,Qual curso você faz na FMP?,Qual a sua faixa etária?,Qual sua cor/raça?,Como você se identifica com relação a seu gênero?,Possui filhos/dependentes?,"Se sim, quantos filhos você possui?",Você concluiu o Ensino Médio em:,Qual a sua escolaridade?,"Se você possui outra graduação, diga qual.",Você possui algum diagnóstico/investigação de deficiência que necessite de adaptação pedagógica?,"Deficiência. Se sim, qual?",Você está trabalhando?,Você trabalha na área do curso em que está matriculado?,Qual sua principal atividade?,Qual sua jornada diária de trabalho?,Qual sua faixa de renda?,Qual sua situação de moradia?,Como você realiza o trajeto até a FMP?,Você tem acesso à internet em casa?,Você possui computador/notebook pessoal para estudos?,Você possui dificuldades com o uso da tecnologia?,Como você se alimenta na FMP?,Você pratica alguma atividade física?,"Atividade física. Se sim, qual?",Você encontra alguma dificuldade ou limitação para frequentar o curso?,"Dificuldade ou limitação. Se sim, qual",Você segue a FMP no Facebook?,Você segue a FMP no Instagram?,Qual meio de comunicação você mais usa para se informar?
4/10/2024 8:17:40,Amigos/familiares,São José,,2021/02,Administração,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,"A pé, Ônibus",Sim,Não,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Musculação ,Sim,Acordar cedo,Não,Sim,Redes Sociais
4/10/2024 8:22:38,Amigos/familiares,São José,,2024/01,Administração,Entre 16 e 21 anos,Branca,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,4 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,"A pé, Ônibus, Aplicativo de transporte",Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Academia,Não,,Não,Sim,Redes Sociais
4/10/2024 8:14:48,Amigos/familiares,Palhoça,Guarda do Cubatão,2022/01,Pedagogia,Entre 22 e 26 anos,Parda,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,4 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Bicicleta,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Ciclismo,Não,,Sim,Sim,Redes Sociais
4/10/2024 8:11:27,Amigos/familiares,Palhoça,Bela Vista,2021/01,Administração,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),4 horas,Menos de 1 salário mínimo,Moro com a família em residência alugada,Bicicleta,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Caminhada e andar de bike,Sim,,Não,Sim,Redes Sociais
4/10/2024 8:48:08,Amigos/familiares,Palhoça,Barra do Aririú,2023/02,Administração,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Não,Autônomo(a),6 horas,Menos de 1 salário mínimo,Moro com a família em residência própria,Bicicleta,Sim,Não,Sim,Não me alimento na facilidade ,Sim,1 hora de bicicleta por dia,Sim,Nos dias de chuvas  pois venho de bicicleta ,Não,Sim,Redes Sociais
4/10/2024 8:18:21,Amigos/familiares,Palhoça,Guarda do Cubatão,2023/01,Tecnólogo em Análise e Desenvolvimento de Sistemas,Entre 46 e 50 anos,Preta,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,De 1 a 3 salários mínimos,Moro de forma compartilhada com colegas/amigos estrangeiros em residência alugada,Bicicleta,Não,Não,Sim,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Sim,"Caminhada,",Sim,"*principalmente o acesso a um notebook,desemprego. ",Sim,Sim,Redes Sociais
4/10/2024 8:31:10,Amigos/familiares,Palhoça,Centro,2020/02,Administração,Entre 40 e 45 anos,Parda,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,MEI (Microempreendedor individual),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,"Bicicleta, Carro",Sim,Sim,Sim,"Cantina, traz alimentos de casa",Sim,Musculação ,Sim,"Devido ao trabalho, pouco tempo para dedicação aos estudos.",Sim,Sim,Redes Sociais
4/10/2024 8:13:59,Amigos/familiares,Palhoça,Jardim Eldorado,2022/01,Administração,Entre 40 e 45 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Não,Não,Desempregado(a)/Só estudo,0,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,Nenhuma,Não,,Não,Sim,Redes Sociais
4/9/2024 23:15:18,Site da FMP,Palhoça,Passa Vinte,2024/01,Pós Graduação em Gestão Empresarial,Entre 34 e 39 anos,Branca,Feminino,Sim,2,Escola pública,Superior Completo,Administração ,Não,,Não,Não,Do lar,0,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Musculação ,Não,,Não,Sim,Redes Sociais
4/9/2024 23:31:13,Amigos/familiares,Palhoça,Barra do Aririú,2021/01,Administração,Entre 27 e 33 anos,Branca,Feminino,Não,,Escola pública,Superior Completo,ADM,Não,,Sim,Sim,MEI (Microempreendedor individual),8 horas,De 1 a 3 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Cross fit,Não,,Não,Não,Redes Sociais
4/10/2024 19:22:58,Amigos/familiares,Palhoça,Centro,2020/01,Administração,Entre 27 e 33 anos,Parda,Masculino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 4 a 6 salários mínimos,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,"Futebol, bicicleta ",Não,,Não,Sim,Redes Sociais
4/10/2024 10:47:59,Amigos/familiares,Palhoça,Caminho Novo,2020/01,Administração,Entre 27 e 33 anos,Branca,Feminino,Sim,2,Escola pública,Ensino Médio,,Não,,Sim,Sim,MEI (Microempreendedor individual),12 horas,Prefiro não responder,Moro com a família em residência alugada,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Sim,Academia ,Não,,Sim,Sim,Redes Sociais
4/10/2024 19:01:59,Amigos/familiares,Palhoça,Bela Vista,2022/01,Administração,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Autônomo(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,Academia ,Não,,Não,Sim,Redes Sociais
4/10/2024 8:15:37,Amigos/familiares,Palhoça,Nova Palhoça,2022/01,Pedagogia,Entre 40 e 45 anos,Branca,Feminino,Sim,3,Escola pública,Ensino Médio,,Não,,Sim,Não,Autônomo(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Uso a cantina por não ter como esquentar o lanche de casa,Sim,Funcional.,Não,,Não,Sim,Redes Sociais
4/10/2024 8:19:17,Amigos/familiares,Palhoça,Centro,2021/02,Administração,Entre 27 e 33 anos,Branca,Masculino,Não,,Escola particular,Pós Graduação,Direito ,Não,,Sim,Não,Autônomo(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, utiliza a cantina da instituição",Sim,"Corrida, futevôlei, futebol, academia",Não,,Não,Sim,Redes Sociais
4/10/2024 16:21:15,Amigos/familiares,Palhoça,Aririú,2021/01,Administração,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento e necessita de microondas para aquecê-lo",Não,Não pratico ,Não,,Não,Sim,Redes Sociais
4/10/2024 19:22:43,Amigos/familiares,Palhoça,Jardim Eldorado,2020/02,Administração,Entre 27 e 33 anos,Parda,Feminino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Não,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Não,,Não,Sim,Redes Sociais
4/10/2024 12:49:25,Amigos/familiares,São José,,2023/01,Administração,Entre 40 e 45 anos,Branca,Masculino,Sim,1,Escola pública,Ensino Médio,,Não,,Sim,Sim,Colaborador(a) de empresa privada,8 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,.,Não,,Não,Sim,Redes Sociais
4/10/2024 8:08:16,Amigos/familiares,Palhoça,Ponte do Imaruim,2020/01,Administração,Entre 22 e 26 anos,Branca,Feminino,Não,,Escola pública,Ensino Médio,,Não,,Sim,Sim,Estagiário(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,Não me alimento,Sim,Academia,Não,,Não,Sim,Redes Sociais
4/9/2024 22:44:02,Amigos/familiares,Palhoça,Bela Vista,2023/01,Pedagogia,Entre 16 e 21 anos,Branca,Feminino,Não,,Escola particular,Ensino Médio,,Não,,Sim,Sim,Funcionário(a) Público(a),6 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Sim,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,.,Não,,Não,Sim,Redes Sociais
4/16/2024 8:20:58,Amigos/familiares,Palhoça,Bela Vista,2019/02,Pós Graduação em Gestão Escolar,Entre 40 e 45 anos,Parda,Feminino,Sim,2,Escola pública,Pós Graduação,,Não,,Sim,Não,Funcionário(a) Público(a),4 horas,De 1 a 3 salários mínimos,Moro com a família em residência própria,Carro,Sim,Não,Não,"Normalmente, traz seu próprio alimento pronto para consumo",Não,,Não,,Não,Sim,Redes Sociais
